Lista de Usuarios  
id      nombre                     |    e-mail                   |     pass       | Sucursal  |  turno    | departamento    |  Permisos
*03 - Lesley Ibarra Zarate         |les.ib.zarate@gamestore.com  |ibarra14        |centro     |Matutino   |Recursos Humanos | 2
*04 - Marcos Rangel Patiño         |marapa@gamestore.com         |rangel96        |centro     |Vespertino |Recursos Humanos | 2
*05 - José Ramón López Camarena    |joloca@gamestore.com         |camarena15      |centro     |matutino   |almacen          | 3
*06 - Jorge Falcón Rosas           |jojofalcon@gamestore.com     |risitas33       |centro     |Vespertino |almacen          | 3
*07 - Azhalea Rivas Pinto          |rivaspinto@gamestore.com     |azhalea06       |centro     |matutino   |Sistemas         | 3
*08 - Ernesio Conde Herrera        |ercohe@gamestore.com         |tuertoraro88    |centro     |vespertino |Sistemas         | 3
*09 - Evelyn Segundo Acosta        |evseaca@gamestore.com        |segundo03       |centro     |matutino   |finanzas         | 3
*10 - María Fernanda Cruz Robles   |mafercruz@gamestore.com      |mafer87         |centro     |vespertino |finanzas         | 3
*11 - Bianca Roldan Castro         |biancaroca@gamestore.com     |bianca35        |centro     |matutino   |recursos humanos | 2 
*12 - Rosa Gómez Pérez             |rogope@gamestore.com         |rosita55        |centro     |vespertino |recursos humanos | 2 
*13 - Honorio Juárez Nuñez         |hojunu@gamestore.com         |honorio15       |centro     |matutino   |almacen          |4
*14 - Brallan López López          |elbrallan@gamestore.com      |chaka83         |centro     |matutino   |almacen          |4 
*15 - Quebin Ortíz Glaria          |elquebin@gamestore.com       |quebin48        |centro     |vespertino |almacen          |4
*16 - Florian Rocha Ruíz           |flororu@gamestore.com        |florian99       |centro     |vespertino |almacen          |4
*17 - Serapio Buenrrostro Olguín   |buenrrostro@gamestore.com    |serapio63       |centro     |matutino   |finanzas         |4  
*18 - Rebeca Luna Paéz             |rebeluna@gamestore.com       |rebeca51        |centro     |matutino   |finanzas         |4
*19 - Carla Acevez García          |aceverzca@gamestore.com      |karlilla31      |centro     |vespertino |finanzas         |4
*20 - René Hernández Islas         |renegado@gamestore.com       |ranarene77      |centro     |vespertino |finanzas         |4
*21 - Carmen Pérez Tosacano        |capeto@gamestore.com         |toscano18       |centro     |matutino   |sistemas         |4
*22 - Pablo Hernández Islas        |pablo15@gamestore.com        |pumba11         |centro     |matutino   |sistemas         |4
*23 - Horacio Villaseñor Guardia   |hovigu@gamestore.com         |villaguardia35  |centro     |vespertino |sistemas         |4
*24 - Rolando Huerta Costilla      |roland@gamestore.com         |costillita35    |centro     |vespertino |sistemas         |4 

*25 - Jonathan Vergara Navarro     |jonhy@gamestore.com          |jmerol95        |Norte      |Matutino   |Direccion general| 1
*26 - José Luis Hernández Colula   |johnco@gamestore.com         |wicho3000       |Norte      |Vespertino |Direccion general| 1
*27 - Isela Fernández Flores       |isela.ff@gamestore.com       |isela14         |Norte      |Matutino   |Recursos Humanos | 2
*28 - Juliana Salcedo Del Pino     |jdelpino@gamestore.com       |pinito666       |Norte      |Vespertino |Recursos Humanos | 2
*29 - Alfonso Zayas Rojas          |zayasrojas@gamestore.com     |zayaverse1      |Norte      |matutino   |almacen          | 3
